ticker,name,score,score_rank,industry_code,industry_name,is_current,is_selected_final,action,reason
000080,하이트진로,,,031101,알코올음료 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000210,DL,,,032001,기초 화학물질 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000240,한국앤컴퍼니,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000400,롯데손해보험,,,116501,보험업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000500,가온전선,,,032803,절연선 및 케이블 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000810,삼성화재해상보험,,,116501,보험업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000880,한화,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
000990,DB하이텍,,,032601,반도체 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
001060,JW중외제약,,,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
001120,LX인터내셔널,,,074601,상품 중개업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
001430,세아베스틸지주,,,032401,1차 철강 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
001450,현대해상,,,116501,보험업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
001500,현대차증권,,,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
001680,대상,,,031008,기타 식품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
001720,신영증권,,,116601,금융 지원 서비스업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
001740,SK네트웍스,,,074607,기타 전문 도매업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
002020,코오롱,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
002380,케이씨씨,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
002790,아모레퍼시픽홀딩스,,,032004,기타 화학제품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003030,세아제강지주,,,116409,기타 금융업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
003090,대웅,,,032102,의약품 제조업,0,0,CHECK,후보군 참고용 (비보유/최종 미선정)
