ticker,industry_code,industry_name
460470,032703,사진장비 및 광학기기 제조업
099190,032701,의료용 기기 제조업
461300,105802,소프트웨어 개발 및 공급업
289010,105801,"서적, 잡지 및 기타 인쇄물 출판업"
214430,032602,전자부품 제조업
040910,032902,특수 목적용 기계 제조업
368600,032602,전자부품 제조업
456010,032601,반도체 제조업
052860,032601,반도체 제조업
464500,032601,반도체 제조업
010780,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
212710,032601,반도체 제조업
038880,032602,전자부품 제조업
307180,032804,전구 및 조명장치 제조업
403810,032602,전자부품 제조업
101390,032602,전자부품 제조업
493280,137001,자연과학 및 공학 연구개발업
461030,137001,자연과학 및 공학 연구개발업
456570,032103,의료용품 및 기타 의약 관련제품 제조업
451220,032902,특수 목적용 기계 제조업
447690,032701,의료용 기기 제조업
090150,033003,자동차 신품 부품 제조업
031310,106102,전기 통신업
462980,106309,기타 정보 서비스업
185490,137001,자연과학 및 공학 연구개발업
059100,032602,전자부품 제조업
149010,032601,반도체 제조업
262840,105802,소프트웨어 개발 및 공급업
175250,032102,의약품 제조업
052460,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
119830,137309,"그외 기타 전문, 과학 및 기술 서비스업"
052770,105802,소프트웨어 개발 및 공급업
124500,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
031820,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
010280,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
243870,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
232830,105802,소프트웨어 개발 및 공급업
372800,105802,소프트웨어 개발 및 공급업
084850,032602,전자부품 제조업
309710,032101,기초 의약물질 제조업
114840,032004,기타 화학제품 제조업
027360,116409,기타 금융업
139990,032401,1차 철강 제조업
032080,031304,"섬유제품 염색, 정리 및 마무리 가공업"
013310,033003,자동차 신품 부품 제조업
059120,032601,반도체 제조업
009320,033003,자동차 신품 부품 제조업
000007,105802,소프트웨어 개발 및 공급업
203690,031701,"펄프, 종이 및 판지 제조업"
158430,105802,소프트웨어 개발 및 공급업
200350,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
321820,105802,소프트웨어 개발 및 공급업
149300,137001,자연과학 및 공학 연구개발업
102950,032602,전자부품 제조업
001540,032102,의약품 제조업
053800,105802,소프트웨어 개발 및 공급업
