account,source_file
장기대여금의 감소,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
통화선도의 결제,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
투자활동으로인한현금유출액,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타유동금융자산의 증가,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타비유동금융자산의 증가,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산(유동)의 취득,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
매도가능금융자산(비유동)의 취득,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
기타비유동자산의 감소(증가),finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
유형자산의 취득,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
무형자산의 취득,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
보증금의증가,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
단기대여금의 증가,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
장기대여금의 증가,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
재무활동현금흐름,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
재무활동으로인한현금유입액,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
신주인수권행사,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
단기차입금의 증가,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
장기차입금의 증가,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
자기신주인수권 처분,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
유상증자,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
재무활동으로인한현금유출액,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
이자의지급,finstate_all__corp=00100601__year=2016__reprt=11012__fs=CFS__asof=2025-08-31.parquet
