11:18:15 [INFO] universe=data\processed\universe__asof=2026-02-18__metric=revenue_op__v=1.csv rows=474
11:18:16 [INFO] corp_codes rows=3913
11:18:16 [CHECK] corp_code missing ratio=0.000
11:18:16 [INFO] year range 2016..2025
12:59:22   - (2018, 3): 306
12:59:22   - (2018, 4): 314
12:59:22   - (2019, 2): 317
12:59:22   - (2019, 3): 321
12:59:22   - (2019, 4): 326
12:59:22   - (2020, 2): 334
12:59:22   - (2020, 3): 339
12:59:22   - (2020, 4): 344
12:59:22   - (2021, 2): 351
12:59:22   - (2021, 3): 353
12:59:22   - (2021, 4): 358
12:59:22   - (2022, 2): 364
12:59:22   - (2022, 3): 367
12:59:22   - (2022, 4): 370
12:59:22   - (2023, 2): 373
12:59:22   - (2023, 3): 413
12:59:22   - (2023, 4): 413
12:59:22   - (2024, 2): 421
12:59:22   - (2024, 3): 427
12:59:22   - (2024, 4): 432
12:59:22   - (2025, 2): 436
12:59:22   - (2025, 3): 438
12:59:22   - (2025, 4): 7
