ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score,score_rank,OpIncome_acc2_log1p__raw,OpIncome_acc2_log1p__z,OpIncome_acc2_log1p__rank,OpIncome_acc2_log1p__mult,OpIncome_acc2_log1p__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,op_growth_streak2__raw,op_growth_streak2__z,op_growth_streak2__rank,op_growth_streak2__mult,op_growth_streak2__contrib,rev_growth_streak2__raw,rev_growth_streak2__z,rev_growth_streak2__rank,rev_growth_streak2__mult,rev_growth_streak2__contrib,score_adj,hold_bonus_applied,selection_bucket,kept_from_previous,rebalance_month_end,w,group_value,price_date,current_price
075580,033101,0,1,2,2019,00415628,세진중공업,2019-08-31,3.2299392526048987,3.2299392526048987,4.0,2.800933865993664,2.8,1.0,1.0,2.8,0.8734162356389144,2.8,1.0,1.0,0.7,0.9134179261369441,0.7716021354145759,42.0,1.0,-0.27006074739510155,0,0.0,82.0,1.0,0.0,0,0.0,34.0,1.0,0.0,3.2299392526048987,0.0,new_or_rank_fill,0.0,2019-08-31,0.1,033101,2019-08-30,3189.0
085660,032101,0,1,2,2019,00525679,차바이오텍,2019-08-31,3.013795236522516,3.013795236522516,5.0,1.6547287231299563,2.8,1.0,1.0,2.8,0.05773600156749503,0.6555049539796403,38.0,1.0,0.16387623849491006,0.5630808914962642,-0.1426257086503029,98.0,1.0,0.049918998027606014,0,0.0,82.0,1.0,0.0,0,0.0,34.0,1.0,0.0,3.013795236522516,0.0,new_or_rank_fill,0.0,2019-08-31,0.1,032101,2019-08-30,13062.0
089010,032004,0,1,2,2019,00371485,켐트로닉스,2019-08-31,2.482595684734201,2.482595684734201,10.0,2.3821160346619936,2.8,1.0,1.0,2.8,-0.09409259746463716,-0.2659181976183549,114.0,1.0,-0.06647954940458872,1.0706363774783534,1.145499331032029,21.0,1.0,-0.4009247658612101,1,1.0,1.0,1.0,0.15,0,0.0,34.0,1.0,0.0,2.982595684734201,0.5,keep_current_top_n,1.0,2019-08-31,0.1,032004,2019-08-30,8760.0
101490,032602,0,1,2,2019,00411048,에스앤에스텍,2019-08-31,2.3717512040750552,2.3717512040750552,11.0,0.6807262119527396,1.7636018597662018,19.0,1.0,1.7636018597662018,0.1047792019535092,0.9410025100215264,30.0,1.0,0.2352506275053816,0.4284337751921825,-0.4939963337242067,121.0,1.0,0.17289871680347232,1,1.0,1.0,1.0,0.15,1,1.0,1.0,1.0,0.05,2.8717512040750552,0.5,keep_current_top_n,1.0,2019-08-31,0.1,032602,2019-08-30,9400.0
077970,032901,0,1,2,2019,00480455,STX엔진,2019-08-31,2.8627275906046146,2.8627275906046146,6.0,2.452505763863726,2.8,1.0,1.0,2.8,0.5485352648234806,2.6536344438135377,5.0,1.0,0.6634086109533844,1.3440209230987772,1.7162314867107709,11.0,1.0,-0.6006810203487698,0,0.0,82.0,1.0,0.0,0,0.0,34.0,1.0,0.0,2.8627275906046146,0.0,new_or_rank_fill,0.0,2019-08-31,0.1,032901,2019-08-30,7190.0
006400,032802,0,1,2,2019,00126362,삼성SDI,2019-08-31,2.743386988571981,2.743386988571981,7.0,1.537170251091075,2.8,1.0,1.0,2.8,-0.18444271959827874,-0.8142384404075613,126.0,1.0,-0.20355961010189033,0.45684803652662487,-0.41984742478248865,113.0,1.0,0.14694659867387103,0,0.0,82.0,1.0,0.0,0,0.0,34.0,1.0,0.0,2.743386988571981,0.0,new_or_rank_fill,0.0,2019-08-31,0.1,032802,2019-08-30,244268.0
012450,033103,0,1,2,2019,00126566,한화에어로스페이스,2019-08-31,2.656369331180757,2.656369331180757,8.0,1.7555092495301212,2.8,1.0,1.0,2.8,0.13505146670026824,1.0997759813886772,28.0,1.0,0.2749439953471693,1.0947918635771126,1.1959276119040358,19.0,1.0,-0.41857466416641254,0,0.0,82.0,1.0,0.0,0,0.0,34.0,1.0,0.0,2.656369331180757,0.0,new_or_rank_fill,0.0,2019-08-31,0.1,033103,2019-08-30,39625.0
100840,032901,0,1,3,2019,00648721,SNT에너지,2019-11-30,3.9766418492514486,3.9766418492514486,1.0,4.007710506897064,2.8,1.0,1.0,2.8,0.5952306559015786,2.8,1.0,1.0,0.7,0.2729186746797798,-0.790405283575568,100.0,1.0,0.2766418492514488,1,1.0,1.0,1.0,0.15,1,1.0,1.0,1.0,0.05,4.476641849251449,0.5,keep_current_top_n,1.0,2019-11-30,0.1,032901,2019-11-29,6587.0
068760,032102,0,1,3,2019,00541349,셀트리온제약,2019-11-30,3.353731285991923,3.353731285991923,2.0,1.6365168583249916,2.7548031009011176,8.0,1.0,2.7548031009011176,0.16857214995936043,1.2319161350365517,17.0,1.0,0.30797903375913793,0.5040094737172823,-0.25985471809047855,72.0,1.0,0.09094915133166749,1,1.0,1.0,1.0,0.15,1,1.0,1.0,1.0,0.05,3.353731285991923,0.0,new_or_rank_fill,0.0,2019-11-30,0.1,032102,2019-11-29,27324.0
206650,032102,0,1,3,2019,00927558,유바이오로직스,2019-11-30,3.3537215358150605,3.3537215358150605,3.0,1.9872880977462923,2.8,1.0,1.0,2.8,0.5642523037413056,2.8,1.0,1.0,0.7,0.7992344332209493,0.41793846909982674,45.0,1.0,-0.14627846418493934,0,0.0,73.0,1.0,0.0,0,0.0,75.0,1.0,0.0,3.3537215358150605,0.0,new_or_rank_fill,0.0,2019-11-30,0.1,032102,2019-11-29,6562.0
