ticker,industry4,CFO_warn,CFO_isnull,quarter,year,corp_code,name,rebalance_month,score_total,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Revenue_acc2__raw,Revenue_acc2__z,Revenue_acc2__rank,Revenue_acc2__mult,Revenue_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,score,score_adj,rebalance_month_end,w,group_value,price_date,current_price
192080,5821,0,0,4,2016,01010110,더블유게임즈,2017-03-31,0.5203357269936855,7.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.14438492496840205,-1.226036758883006,281.0,1.0,0.42911286560905204,0.12416218573381564,0.8113835621311469,54.0,1.0,0.0811383562131147,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.5203357269936855,0.5203357269936855,2017-03-31,0.1,5821,2017-03-31,33450
121600,2049,0,0,4,2016,00439965,나노신소재,2017-03-31,0.5118304330484369,8.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0822337768764316,-1.3683607535183402,289.0,1.0,0.47892626373141906,0.07822195783292304,0.22819664145499108,121.0,1.0,0.02281966414549911,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.5118304330484369,0.5118304330484369,2017-03-31,0.1,2049,2017-03-31,12250
213420,262,0,0,4,2016,01061558,덕산네오룩스,2017-03-31,0.5084316998652358,9.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.08482382902800475,-1.362429623042999,288.0,1.0,0.47685036806504966,0.07717989987784005,0.21496826628667506,124.0,1.0,0.021496826628667507,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.5084316998652358,0.5084316998652358,2017-03-31,0.1,262,2017-03-31,13377
035250,91249,0,0,4,2016,00255619,강원랜드,2017-03-31,0.5072162706352302,10.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.20153354593766845,-1.095168379553784,269.0,1.0,0.3833089328438244,0.1499092016855378,1.138228326198871,35.0,1.0,0.11382283261988711,0,-0.10084505171518701,4.0,1.0,0.010084505171518703,0.5072162706352302,0.5072162706352302,2017-03-31,0.1,91249,2017-03-31,38200
145020,211,0,0,1,2017,00888347,휴젤,2017-05-31,0.7289805884249468,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.07065262664738002,-1.431584381055488,297.0,1.0,0.5010545333694207,0.20076207305801855,2.0053665543688646,4.0,1.0,0.20053665543688648,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.7289805884249468,0.7289805884249468,2017-05-31,0.1,211,2017-05-31,159424
104830,20121,0,0,1,2017,00623661,원익머트리얼즈,2017-05-31,0.6607628446545829,2.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.10977971072334351,-1.3404396843032762,291.0,1.0,0.4691538895061466,0.17531235107465531,1.6421955552979666,13.0,1.0,0.16421955552979667,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.6607628446545829,0.6607628446545829,2017-05-31,0.1,20121,2017-05-31,39900
192080,5821,0,0,1,2017,01010110,더블유게임즈,2017-05-31,0.5912681198515374,3.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.16150193471078772,-1.2199552032329983,284.0,1.0,0.4269843211315494,0.15616386080326777,1.368943991013484,27.0,1.0,0.1368943991013484,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.5912681198515374,0.5912681198515374,2017-05-31,0.1,5821,2017-05-31,46491
084370,29271,0,0,1,2017,00531014,유진테크,2017-05-31,0.5812464481047921,4.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.1506387004704264,-1.2452605949832165,285.0,1.0,0.43584120824412576,0.14293444337606562,1.180158402420267,40.0,1.0,0.1180158402420267,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.5812464481047921,0.5812464481047921,2017-05-31,0.1,29271,2017-05-31,18900
058470,2629,0,0,1,2017,00369657,리노공업,2017-05-31,0.5766918281397981,5.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.14875364763419174,-1.2496517366483337,286.0,1.0,0.4373781078269168,0.13866572480151101,1.1192432069424174,43.0,1.0,0.11192432069424174,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.5766918281397981,0.5766918281397981,2017-05-31,0.1,2629,2017-05-31,8599
112610,2511,0,0,1,2017,00670340,씨에스윈드,2017-05-31,0.5733110232527879,6.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.19520924641193171,-1.1414356105802865,278.0,1.0,0.3995024637031003,0.1628384718182999,1.4641915993104806,22.0,1.0,0.14641915993104807,0,-0.27389399618639587,22.0,1.0,0.02738939961863959,0.5733110232527879,0.5733110232527879,2017-05-31,0.1,2511,2017-05-31,11151
