"source","destination","reason"
"C:\Users\chanw\ai_inv_adv\data\processed\krx_marketdata__asof=2026-02-18__src=synthetic_prices_dart__lookback=365d__v=8.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\marketdata\krx_marketdata__asof=2026-02-18__src=synthetic_prices_dart__lookback=365d__v=8.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\krx_marketdata__asof=2026-02-18__src=synthetic_prices_dart__lookback=365d__v=9.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\marketdata\krx_marketdata__asof=2026-02-18__src=synthetic_prices_dart__lookback=365d__v=9.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\krx_marketdata__asof=2026-03-13__src=pykrx__lookback=365d__v=1.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\marketdata\krx_marketdata__asof=2026-03-13__src=pykrx__lookback=365d__v=1.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\krx_marketdata__asof=2026-03-21__src=pykrx__lookback=365d__v=1.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\marketdata\krx_marketdata__asof=2026-03-21__src=pykrx__lookback=365d__v=1.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\krx_marketdata__asof=2026-03-31__src=pykrx__lookback=365d__v=1.parquet","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\marketdata\krx_marketdata__asof=2026-03-31__src=pykrx__lookback=365d__v=1.parquet","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\latest_scores__asof=2025-11-16__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=311__target=2025-11-30__coverage.json","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\processed\latest_scores__asof=2025-11-16__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=311__target=2025-11-30__current_holdings_scored.csv","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\processed\latest_scores__asof=2025-11-16__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=311__target=2025-11-30__full_universe.csv","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\processed\latest_scores__asof=2025-11-16__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=311__target=2025-11-30__topk.csv","-","keep_rule_matched"
"C:\Users\chanw\ai_inv_adv\data\processed\latest_scores__asof=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=301__target=2025-11-30__coverage.json","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\latest_scores\latest_scores__asof=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=301__target=2025-11-30__coverage.json","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\latest_scores__asof=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=301__target=2025-11-30__current_holdings_scored.csv","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\latest_scores\latest_scores__asof=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=301__target=2025-11-30__current_holdings_scored.csv","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\latest_scores__asof=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=301__target=2025-11-30__full_universe.csv","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\latest_scores\latest_scores__asof=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=301__target=2025-11-30__full_universe.csv","already_exists_same_size"
"C:\Users\chanw\ai_inv_adv\data\processed\latest_scores__asof=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=301__target=2025-11-30__topk.csv","C:\Users\chanw\ai_inv_adv\data\archive\old_versions\latest_scores\latest_scores__asof=2025-11-30__metric=revenue_op__strat=D_quality_filter_debt_profitaccel_liq__featv=301__target=2025-11-30__topk.csv","already_exists_same_size"
